Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Parameter Value[Detector]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
Glands_24h_Nm3	Extraction			Glands_24h_Nm3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm3	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm3.xy	Metabolite identification	Glands_24h_Nm3	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nm4	Extraction			Glands_24h_Nm4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm4	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm4.xy	Metabolite identification	Glands_24h_Nm4	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nm5	Extraction			Glands_24h_Nm5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm5	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm5.xy	Metabolite identification	Glands_24h_Nm5	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nm6	Extraction			Glands_24h_Nm6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm6	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm6.xy	Metabolite identification	Glands_24h_Nm6	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nm7	Extraction			Glands_24h_Nm7	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm7	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm7.xy	Metabolite identification	Glands_24h_Nm7	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Nm8	Extraction			Glands_24h_Nm8	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Nm8	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Nm8.xy	Metabolite identification	Glands_24h_Nm8	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pf1	Extraction			Glands_24h_Pf1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pf1	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pf1.xy	Metabolite identification	Glands_24h_Pf1	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pf2	Extraction			Glands_24h_Pf2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pf2	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pf2.xy	Metabolite identification	Glands_24h_Pf2	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pf3	Extraction			Glands_24h_Pf3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pf3	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pf3.xy	Metabolite identification	Glands_24h_Pf3	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pf4	Extraction			Glands_24h_Pf4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pf4	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pf4.xy	Metabolite identification	Glands_24h_Pf4	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pf5	Extraction			Glands_24h_Pf5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pf5	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pf5.xy	Metabolite identification	Glands_24h_Pf5	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pf6	Extraction			Glands_24h_Pf6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pf6	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pf6.xy	Metabolite identification	Glands_24h_Pf6	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pf8	Extraction			Glands_24h_Pf8	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pf8	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pf8.xy	Metabolite identification	Glands_24h_Pf8	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pm1	Extraction			Glands_24h_Pm1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pm1	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pm1.xy	Metabolite identification	Glands_24h_Pm1	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pm2	Extraction			Glands_24h_Pm2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pm2	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pm2.xy	Metabolite identification	Glands_24h_Pm2	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pm3	Extraction			Glands_24h_Pm3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pm3	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pm3.xy	Metabolite identification	Glands_24h_Pm3	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pm4	Extraction			Glands_24h_Pm4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pm4	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pm4.xy	Metabolite identification	Glands_24h_Pm4	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pm5	Extraction			Glands_24h_Pm5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pm5	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pm5.xy	Metabolite identification	Glands_24h_Pm5	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pm6	Extraction			Glands_24h_Pm6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pm6	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pm6.xy	Metabolite identification	Glands_24h_Pm6	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Pm8	Extraction			Glands_24h_Pm8	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Pm8	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Pm8.xy	Metabolite identification	Glands_24h_Pm8	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf1	Extraction			Glands_24h_Wf1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf1	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf1.xy	Metabolite identification	Glands_24h_Wf1	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf2	Extraction			Glands_24h_Wf2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf2	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf2.xy	Metabolite identification	Glands_24h_Wf2	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf3	Extraction			Glands_24h_Wf3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf3	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf3.xy	Metabolite identification	Glands_24h_Wf3	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf4	Extraction			Glands_24h_Wf4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf4	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf4.xy	Metabolite identification	Glands_24h_Wf4	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf5	Extraction			Glands_24h_Wf5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf5	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf5.xy	Metabolite identification	Glands_24h_Wf5	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf6	Extraction			Glands_24h_Wf6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf6	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf6.xy	Metabolite identification	Glands_24h_Wf6	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf7	Extraction			Glands_24h_Wf7	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf7	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf7.xy	Metabolite identification	Glands_24h_Wf7	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wf8	Extraction			Glands_24h_Wf8	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wf8	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wf8.xy	Metabolite identification	Glands_24h_Wf8	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wm1	Extraction			Glands_24h_Wm1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wm1	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wm1.xy	Metabolite identification	Glands_24h_Wm1	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wm2	Extraction			Glands_24h_Wm2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wm2	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wm2.xy	Metabolite identification	Glands_24h_Wm2	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wm3	Extraction			Glands_24h_Wm3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wm3	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wm3.xy	Metabolite identification	Glands_24h_Wm3	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wm4	Extraction			Glands_24h_Wm4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wm4	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wm4.xy	Metabolite identification	Glands_24h_Wm4	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wm5	Extraction			Glands_24h_Wm5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wm5	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wm5.xy	Metabolite identification	Glands_24h_Wm5	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wm6	Extraction			Glands_24h_Wm6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wm6	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wm6.xy	Metabolite identification	Glands_24h_Wm6	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
Glands_24h_Wm7	Extraction			Glands_24h_Wm7	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	Glands_24h_Wm7	FILES/DERIVED_FILES/XY_files_gland/Glands_24h_Wm7.xy	Metabolite identification	Glands_24h_Wm7	m_MTBLS2277_GC-FID_gland_metabolite_profiling_v2_maf.tsv
