Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Parameter Value[Detector]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
CHCs_Nf5	Extraction			CHCs_Nf5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nf5	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nf5.xy	Metabolite identification	CHCs_Nf5	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Nf6	Extraction			CHCs_Nf6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Nf6	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Nf6.xy	Metabolite identification	CHCs_Nf6	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pm1	Extraction			CHCs_Pm1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pm1	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pm1.xy	Metabolite identification	CHCs_Pm1	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pm2	Extraction			CHCs_Pm2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pm2	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pm2.xy	Metabolite identification	CHCs_Pm2	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pm3	Extraction			CHCs_Pm3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pm3	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pm3.xy	Metabolite identification	CHCs_Pm3	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pm4	Extraction			CHCs_Pm4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pm4	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pm4.xy	Metabolite identification	CHCs_Pm4	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pm5	Extraction			CHCs_Pm5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pm5	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pm5.xy	Metabolite identification	CHCs_Pm5	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pm6	Extraction			CHCs_Pm6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pm6	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pm6.xy	Metabolite identification	CHCs_Pm6	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pf1	Extraction			CHCs_Pf1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pf1	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pf1.xy	Metabolite identification	CHCs_Pf1	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pf4	Extraction			CHCs_Pf4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pf4	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pf4.xy	Metabolite identification	CHCs_Pf4	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pf3	Extraction			CHCs_Pf3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pf3	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pf3.xy	Metabolite identification	CHCs_Pf3	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pf2	Extraction			CHCs_Pf2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pf2	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pf2.xy	Metabolite identification	CHCs_Pf2	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pf5	Extraction			CHCs_Pf5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pf5	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pf5.xy	Metabolite identification	CHCs_Pf5	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Pf6	Extraction			CHCs_Pf6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Pf6	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Pf6.xy	Metabolite identification	CHCs_Pf6	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wm1	Extraction			CHCs_Wm1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wm1	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wm1.xy	Metabolite identification	CHCs_Wm1	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wm2	Extraction			CHCs_Wm2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wm2	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wm2.xy	Metabolite identification	CHCs_Wm2	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wm3	Extraction			CHCs_Wm3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wm3	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wm3.xy	Metabolite identification	CHCs_Wm3	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wm4	Extraction			CHCs_Wm4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wm4	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wm4.xy	Metabolite identification	CHCs_Wm4	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wm5	Extraction			CHCs_Wm5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wm5	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wm5.xy	Metabolite identification	CHCs_Wm5	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wm6	Extraction			CHCs_Wm6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wm6	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wm6.xy	Metabolite identification	CHCs_Wm6	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wf1	Extraction			CHCs_Wf1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wf1	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wf1.xy	Metabolite identification	CHCs_Wf1	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wf2	Extraction			CHCs_Wf2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wf2	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wf2.xy	Metabolite identification	CHCs_Wf2	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wf3	Extraction			CHCs_Wf3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wf3	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wf3.xy	Metabolite identification	CHCs_Wf3	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wf4	Extraction			CHCs_Wf4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wf4	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wf4.xy	Metabolite identification	CHCs_Wf4	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wf5	Extraction			CHCs_Wf5	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wf5	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wf5.xy	Metabolite identification	CHCs_Wf5	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Wf6	Extraction			CHCs_Wf6	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Wf6	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Wf6.xy	Metabolite identification	CHCs_Wf6	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Blank	Extraction			CHCs_Blank1	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Blank1	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Blank1.xy	Metabolite identification	CHCs_Blank1	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Blank	Extraction			CHCs_Blank2	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Blank2	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Blank2.xy	Metabolite identification	CHCs_Blank2	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Blank	Extraction			CHCs_Blank3	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Blank3	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Blank3.xy	Metabolite identification	CHCs_Blank3	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
CHCs_Blank	Extraction			CHCs_Blank4	Chromatography	Shimadzu GC-2010 Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Shimadzu AOC-20i autoinjector	VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity	10 m EZGuard (Agilent Technologies)	Shimadzu FID-2010 Plus										Data transformation	CHCs_Blank4	FILES/DERIVED_FILES/XY_files_CHC/CHCs_Blank4.xy	Metabolite identification	CHCs_Blank4	m_MTBLS2277_GC-FID_chc_metabolite_profiling_v2_maf.tsv
